"Expert","Family","Genus","Species","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent."
"Shirley Graham","Lythraceae","Heimia","salicifolia","","","dry",50,50,"50",0.5,1,0.3,0.8,"insects","biotic","5-6 mm",NA,NA,NA,"3.5-7.5"
"Shirley Graham","Lythraceae","Koehneria","madagascariensis","","","dry",10,30,"20",1.3,1.7,1,1.2,NA,NA,"7-7.5 mm",NA,NA,NA,"8.5 mm"
"Shirley Graham","Lythraceae","Lafoensia","vandelliana","","","dry",100,100,"100",6.5,35,8,15,"vertebrates","biotic","15 mm",NA,NA,NA,"15 mm"
"Shirley Graham","Lythraceae","Lagerstroemia","indica","","","dry",8,72,"40",3,6,4,16,"insects","biotic","10 mm",NA,NA,NA,"10-12 mm"
"Shirley Graham","Lythraceae","Lawsonia","inermis","","","dry",30,50,"40",1.2,2.2,1.3,2,"insects","biotic","3.0 mm",NA,NA,NA,"1.5 mm"
"Shirley Graham","Lythraceae","Lourtella","resinosa","","","dry",30,50,"40",0.8,1,0.5,0.7,NA,NA,"3.5 mm",NA,NA,NA,"3-3.5 mm"
"Shirley Graham","Lythraceae","Lythrum","alatum","","","dry",8,60,"34",0.4,0.8,0.3,0.7,"insects","biotic","0.5-2 mm",NA,NA,NA,"3-8 mm"
"Shirley Graham","Lythraceae","Pehria","compacta","","","dry",50,50,"50",0.7,0.9,0.3,0.5,NA,NA,"5.0-6.0 mm",NA,NA,NA,"6.5-7.5 mm"
"Shirley Graham","Lythraceae","Pemphis","acidula","","","dry",15,20,"17.5",2.5,3,1.7,2,"vertebrates","biotic","7.0-7.5 mm",NA,NA,NA,"5-6 mm"
"Shirley Graham","Lythraceae","Physocalymma","scaberrimum","","","dry",50,50,"50",3.2,4.2,2.7,4,NA,NA,"11-15 mm",NA,NA,NA,"10-13 mm"
"Shirley Graham","Lythraceae","Pleurophora","anomala","","","dry",3,100,"51.5",0.6,1,0.4,0.5,"insects","biotic","2-4 mm",NA,NA,NA,"4-16 mm"
"Shirley Graham","Lythraceae","Punica","protopunica","","","fleshy",100,1000,"550",4,4.6,1.8,2,"insects, vertebrates","biotic","ca. 2.0 cm",NA,NA,NA,"ca. 2.0 cm, in P. granatum 2-3 cm"
"Shirley Graham","Lythraceae","Rotala","ramosior","","","dry",30,300,"165",0.3,0.7,0.2,0.4,"insects","biotic","2.5 mm",NA,NA,NA,"3.3-4.5 mm"
"Shirley Graham","Lythraceae","Sonneratia","","","","fleshy",100,1000,"550",5,12,4,10,"vertebrates","biotic","1.5-3.0 cm",NA,NA,NA,"1.5-3.0 cm"
"Shirley Graham","Lythraceae","Tetrataxis","salicifolia","","","dry",50,50,"50",0.9,1.2,0.2,0.5,NA,NA,"12mm",NA,NA,NA,"13-15 mm; 15 mm"
"Shirley Graham","Lythraceae","Trapa","natans","","","fleshy",1,1,"1",10,20,10,20,"insects","biotic","3.5 cm",NA,NA,NA,"2.5-3.5 cm"
"Shirley Graham","Lythraceae","Woodfordia","fruticosa","","","dry",50,50,"50",0.7,1,0.2,0.3,"insects, vertebrates","biotic","3-4 mm",NA,NA,NA,"15-17 mm"
"Thiago Flores","Myrtaceae","Myrciaria","disticha","Myrteae","Pliniinae","Fleshy",1,2,"1.5",3,15,2,10,"insects","biotic","Tetramery",NA,NA,NA,"0,5-3,5 mm;  prevalent 1,5-2,5 mm"
"Yee Wen Low","Myrtaceae","Acmena","acuminatissima","Syzygieae","subgenus Acmena, sect. Acmena","Fleshy",1,1,"1",NA,10,NA,NA,"Insects","biotic","4; 5",NA,NA,NA,"10mm; 15mm"
"Yee Wen Low","Myrtaceae","Acmenosperma","claviflorum","Syzygieae","subgenus Perikion","Fleshy",1,1,"1",3,10,NA,NA,"Insects","biotic","4; 5",NA,NA,NA,"12mm; 20mm"
"Yee Wen Low","Myrtaceae","Syzygium","acuminatissimum","Syzygieae","subgenus Acmena, sect. Acmena","Fleshy",1,1,"1",NA,10,NA,NA,"Insects","biotic","4; 5",NA,NA,NA,"10mm; 15mm"
"Peter Wilson","Myrtaceae","Backhousia","hughesii","Backhousieae","","dry",1,2,"",NA,NA,NA,NA,"insects","biotic","8.5–9.5 mm",NA,NA,NA,"2–2.5 mm"
"Peter Wilson","Myrtaceae","Actinodium","cunninghamii","Chamelaucieae","Chamelauciinae","dry",1,1,"",NA,NA,NA,NA,"insects","biotic","c. 3 mm",NA,NA,NA,"c. 2 mm"
"Peter Wilson","Myrtaceae","Aluta","aspera","Chamelaucieae","Alutinae","dry",1,1,"",NA,NA,NA,NA,"insects","biotic","7–12 mm",NA,NA,NA,"c. 3 mm"
"Peter Wilson","Myrtaceae","Astartea","fascicularis","Chamelaucieae","Astarteinae","dry",3,NA,"",NA,1,NA,NA,"insects","biotic","6–9 mm",NA,NA,NA,"1.5–2 mm "
"Peter Wilson","Myrtaceae","Astus","tetragonus","Chamelaucieae","Rinziinae","dry",1,1,"",1.2,1.2,NA,NA,"insects","biotic","3–5 mm",NA,NA,NA,"1–2.5 mm (excl. sepals 1–1.2 mm long)"
"Peter Wilson","Myrtaceae","Babingtonia","camphorosmae","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",1,1.6,NA,NA,"insects","biotic","8–11 mm",NA,NA,NA,"1.5–2.2 mm long"
"Peter Wilson","Myrtaceae","Baeckea","crispiflora","Chamelaucieae","","",NA,NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,""
"Peter Wilson","Myrtaceae","Balaustion","pulcherrimum","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",2.5,2.5,NA,NA,"vertebrates","biotic","15–25 mm",NA,NA,NA,"9–20 mm"
"Peter Wilson","Myrtaceae","Calytrix","leschenaultii","Chamelaucieae","Calytricinae","dry",1,1,"",2.5,3.5,NA,NA,"insects","biotic","10–16 mm",NA,NA,NA,"6–11 mm"
"Peter Wilson","Myrtaceae","Chamelaucium","uncinatum","Chamelaucieae","Chamelauciinae","dry",1,1,"",6,6,NA,NA,"insects","biotic","15–20 mm",NA,NA,NA,"4.5–7 mm"
"Peter Wilson","Myrtaceae","Cheyniana","microphylla","Chamelaucieae","Hysterobaeckeinae","dry",6,27,"",1.4,1.7,NA,NA,"vertebrates","biotic","10–14 mm",NA,NA,NA,"4–8 mm long"
"Peter Wilson","Myrtaceae","Corynanthera","flava","Chamelaucieae","Micromyrtinae","dry",1,1,"",2,2,NA,NA,"insects","biotic","c. 1.5 mm",NA,NA,NA,"c. 2.5 mm"
"Peter Wilson","Myrtaceae","Cyathostemon","ambiguus","Chamelaucieae","Astarteinae","dry",3,3,"",1.3,2,NA,NA,"insects","biotic","8–9 mm ",NA,NA,NA,"1–1.5 mm "
"Peter Wilson","Myrtaceae","Darwinia","speciosa","Chamelaucieae","Chamelauciinae","dry",1,1,"",2,3.5,NA,NA,"vertebrates","biotic","c. 5–7 mm (flowers 4 within a bell-like involucre)",NA,NA,NA,"4–5 mm"
"Peter Wilson","Myrtaceae","Enekbatus","cryptandroides","Chamelaucieae","Rinziinae","dry",1,2,"",1.1,1.8,NA,NA,"insects","biotic","c. 8 mm",NA,NA,NA,"1.5–2.5 mm"
"Peter Wilson","Myrtaceae","Ericomyrtus","serpyllifolia","Chamelaucieae","Hysterobaeckeinae","dry",8,12,"",0.5,1,NA,NA,"insects","biotic","4–5(–6) mm",NA,NA,NA,"1.5 mm"
"Peter Wilson","Myrtaceae","Euryomyrtus","maidenii","Chamelaucieae","Rinziinae","dry",2,3,"",1.5,2,NA,NA,"insects","biotic","4–7.5 mm",NA,NA,NA,"1.1–1.6 mm long"
"Peter Wilson","Myrtaceae","Harmogia","virgata","Chamelaucieae","Hysterobaeckeinae","dry",6,9,"",0.75,0.75,NA,NA,"insects","biotic","to 10 mm",NA,NA,NA,"1.7–2.2 mm"
"Peter Wilson","Myrtaceae","Homoranthus","thomasii","Chamelaucieae","Chamelauciinae","dry",1,1,"",1.5,1.5,NA,NA,"vertebrates","biotic","c. 4 mm",NA,NA,NA,"c. 2 mm"
"Peter Wilson","Myrtaceae","Hypocalymma","augustifolium","Chamelaucieae","Astarteinae","dry",1,3,"",1.5,1.5,NA,NA,"insects","biotic","8–11 mm",NA,NA,NA,"1.5–2 mm "
"Peter Wilson","Myrtaceae","Kardomia","jucunda","Chamelaucieae","Hysterobaeckeinae","dry",3,6,"",1,1,NA,NA,"insects","biotic","to 7 mm ",NA,NA,NA,"1.9–2 mm "
"Peter Wilson","Myrtaceae","Malleostemon","","Chamelaucieae","Hysterobaeckeinae","dry",1,1,"",1.5,1.5,NA,NA,"insects","biotic","4–5 mm",NA,NA,NA,"2–2.5 mm"
"Peter Wilson","Myrtaceae","Micromyrtus","obovata","Chamelaucieae","Micromyrtinae","dry",1,1,"",1.2,1.2,NA,NA,NA,NA,"4–5 mm",NA,NA,NA,"1.2–1.5 mm"
"Peter Wilson","Myrtaceae","Ochrosperma","lineare","Chamelaucieae","Ochrospermatinae","dry",3,3,"",1.3,1.3,NA,NA,"insects","biotic","c. 2.5 mm",NA,NA,NA,"1–1.5 mm"
"Peter Wilson","Myrtaceae","Oxymyrrhine","gracilis","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.6,0.8,NA,NA,"insects","biotic","6–10 mm",NA,NA,NA,"1.6–2.5 mm long"
"Peter Wilson","Myrtaceae","Pileanthus","limacis","Chamelaucieae","Chamelauciinae","dry",1,1,"",NA,2,NA,NA,"insects","biotic","10–12 mm",NA,NA,NA,"4.5–5 mm"
"Peter Wilson","Myrtaceae","Rinzia","carnosa","Chamelaucieae","Rinziinae","dry",1,3,"",1.4,1.5,NA,NA,"insects","biotic","5.5–7.5 mm",NA,NA,NA,"1–1.25 mm"
"Peter Wilson","Myrtaceae","Sannantha","crassa","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.6,0.6,NA,NA,"insects","biotic","to 7 mm",NA,NA,NA,"2–2.5 mm"
"Peter Wilson","Myrtaceae","Scholtzia","uberiflora","Chamelaucieae","Hysterobaeckeinae","dry",1,1,"",0.8,1.9,NA,NA,"insects","biotic","5–6.5 mm ",NA,NA,NA,"1–1.5 mm"
"Peter Wilson","Myrtaceae","Seorsus","clavifolius","Chamelaucieae","Astarteinae","dry",5,12,"",1.2,1.4,NA,NA,"insects","biotic","9–12 mm",NA,NA,NA,"1.8–2.5 mm"
"Peter Wilson","Myrtaceae","Stenostegia","congesta","Chamelaucieae","Stenostegiinae","dry",6,9,"",0.6,0.6,NA,NA,"insects","biotic","5 mm",NA,NA,NA,"1.8–2 mm"
"Peter Wilson","Myrtaceae","Tetrapora","preissiana","Chamelaucieae","Hysterobaeckeinae","dry",NA,NA,"",0.4,1.1,NA,NA,"insects","biotic","5.5–6.5 mm ",NA,NA,NA,"0.7–1 mm "
"Peter Wilson","Myrtaceae","Thryptomene","australis","Chamelaucieae","Thryptomeninae","dry",1,2,"",1.4,1.4,NA,NA,"insects","biotic","6–7 mm",NA,NA,NA,"1.5(–2) mm"
"Peter Wilson","Myrtaceae","Triplarina","paludosa","Chamelaucieae","Rinziinae","dry",6,9,"",0.5,0.8,NA,NA,"insects","biotic","4.5–5 mm",NA,NA,NA,"1.3–1.4 mm"
"Peter Wilson","Myrtaceae","Verticordia","huegelii","Chamelaucieae","Chamelauciinae","dry",1,1,"",1,1,NA,NA,NA,NA,"3–4 mm",NA,NA,NA,"2–4 mm"
"Peter Wilson","Myrtaceae","Heteropyxis","natalensis","Heteropyxideae","","dry",10,20,"",1,2,NA,NA,"insects","biotic","2.5–5 mm",NA,NA,NA,"1–1.5 mm"
"Peter Wilson","Myrtaceae","Barongia","lophandra","Kanieae","","dry",1,2,"",6,6,NA,NA,NA,NA,"20–30 mm ",NA,NA,NA,"c. 2 mm (excluding sepals 2 mm long)"
"Peter Wilson","Myrtaceae","Basisperma","lanceolata","Kanieae","","dry",1,1,"",3,3,NA,NA,NA,NA,"c. 6 mm",NA,NA,NA,"c. 2 mm (excluding sepals 1 mm long)"
"Peter Wilson","Myrtaceae","Kania","eugenioides","Kanieae","","dry",NA,NA,"",2.5,3,NA,NA,NA,NA,"c. 3.5–4 mm (petals held ± erect)",NA,NA,NA,"1–1.5 mm"
"Peter Wilson","Myrtaceae","Lysicarpus","angustifolius","Kanieae","","dry",3,9,"",5.5,6,NA,NA,"insects","biotic","c. 10 mm",NA,NA,NA,"2.5–3 mm"
"Peter Wilson","Myrtaceae","Mitrantia","bilocularis","Kanieae","","dry",1,2,"",6,8,NA,NA,NA,NA," to 2.5 mm",NA,NA,NA,"1.5–2.5 mm (excluding sepals 1.5 mm) [short hypanthium = male flower]"
"Peter Wilson","Myrtaceae","Ristantia","gouldii","Kanieae","","dry",1,3,"",5,7,NA,NA,NA,NA,"c. 6 mm",NA,NA,NA,"c. 2.5 mm (excluding sepals 1.5 mm long)"
"Peter Wilson","Myrtaceae","Sphaerantia","discolor","Kanieae","","dry",1,3,"",5,6,NA,NA,NA,NA,"10–12 mm",NA,NA,NA,"c. 4 mm (excluding sepals 1.5–2.5 mm long)"
"Peter Wilson","Myrtaceae","Tristaniopsis","whiteana","Kanieae","","dry",4,12,"",2,5,NA,NA,NA,NA,"1–3 mm",NA,NA,NA,"1–2 mm"
"Peter Wilson","Myrtaceae","Agonis","","Leptospermeae","","dry",3,6,"",1.2,1.5,NA,NA,"insects","biotic","8–12 mm",NA,NA,NA,"1.5–2 mm"
"Peter Wilson","Myrtaceae","Asteromyrtus","angustifolia","Leptospermeae","","dry",3,6,"",3,4.5,NA,NA,"insects","biotic","9–18 mm",NA,NA,NA,"4–11 mm long"
"Peter Wilson","Myrtaceae","Homalospermum","firmum","Leptospermeae","","dry",4,4,"",2.5,3.5,NA,NA,"insects","biotic","c. 15 mm",NA,NA,NA,"c. 1.5 mm"
"Peter Wilson","Myrtaceae","Kunzea","","Leptospermeae","","dry",NA,NA,"",0.5,0.65,NA,NA,"insects","biotic","3–4.5 mm",NA,NA,NA,"2.4–3.2 mm"
"Peter Wilson","Myrtaceae","Leptospermum","erubescens","Leptospermeae","","dry",NA,NA,"",1,1.5,NA,NA,"insects","biotic","8–10 mm ",NA,NA,NA,"c. 2–4 mm "
"Peter Wilson","Myrtaceae","Neofabricia","myrtifolia","Leptospermeae","","dry",8,12,"",2,2.5,NA,NA,"insects","biotic","22–28 mm",NA,NA,NA,"4–5 mm"
"Peter Wilson","Myrtaceae","Pericalymma","spongiocaule","Leptospermeae","","dry",3,3,"",1.2,2,NA,NA,"insects","biotic","8–13 mm ",NA,NA,NA,"3–4 mm (excle. Sepals 1–2.5 mm)"
"Peter Wilson","Myrtaceae","Taxandria","","Leptospermeae","","dry",3,3,"",1,1,NA,NA,"insects","biotic","3.5–6",NA,NA,NA,"0.7–2 mm "
"Peter Wilson","Myrtaceae","Lindsayomyrtus","racemoides","Lindsayomyrteae","",NA,1,3,"",10,23,NA,NA,NA,NA,"22–28 mm",NA,NA,NA,"1–1.5 mm"
"Peter Wilson","Myrtaceae","Kjellbergiodendron","","Lophostemoneae","","fleshy",1,1,"",18,40,NA,NA,NA,NA,"c. 20 mm",NA,NA,NA,"5–7 mm"
"Peter Wilson","Myrtaceae","Lophostemon","suaveolens","Lophostemoneae","","dry",NA,NA,"",1.5,2,NA,NA,"insects","biotic","7–9 mm",NA,NA,NA,"2.5 mm"
"Peter Wilson","Myrtaceae","Welchiodendron","longivalve","Lophostemoneae","","dry",NA,NA,"",6,8,NA,NA,NA,NA,"20–25 mm ",NA,NA,NA,"1–2 mm"
"Peter Wilson","Myrtaceae","Whiteodendron","moultonianum","Lophostemoneae","","dry",1,1,"",12,12,NA,NA,NA,NA,"c. 23–28 mm",NA,NA,NA,"3–4 mm"
"Peter Wilson","Myrtaceae","Beaufortia","squarrosa","Melaleuceae","","dry",1,3,"",0.5,0.5,NA,NA,"insects","biotic","c. 8 mm (but flowers clustered and stamens spreading widely)",NA,NA,NA,"2.5–4 mm "
"Peter Wilson","Myrtaceae","Callistemon","comboynensis","Melaleuceae","","dry",NA,NA,"",1,1.5,NA,NA,"vertebrates","biotic","8.5–10.5 mm",NA,NA,NA,"4–5 mm"
"Peter Wilson","Myrtaceae","Calothamnus","validus","Melaleuceae","","dry",NA,NA,"",2,2.5,NA,NA,"vertebrates","biotic","7–8 mm ",NA,NA,NA,"(3–)4–7 mm"
"Peter Wilson","Myrtaceae","Conothamnus","aureus","Melaleuceae","","dry",3,3,"",1,1,NA,NA,"insects","biotic","petals absent",NA,NA,NA,"0.5–1 mm"
"Peter Wilson","Myrtaceae","Lamarchea","hakeifolia","Melaleuceae","","dry",6,9,"",2,3,NA,NA,"vertebrates","biotic","c. 7 mm",NA,NA,NA,"c. 5 mm"
"Peter Wilson","Myrtaceae","Melaleuca","platycalyx","Melaleuceae","","dry",NA,NA,"",0.8,0.9,NA,NA,"insects","biotic","9–15 mm ",NA,NA,NA,"1.5–2 mm"
"Peter Wilson","Myrtaceae","Metrosideros","tomentosa","Metrosidereae","","dry",NA,NA,"",2,3,NA,NA,"insects, vertebrates","biotic","9–12 mm",NA,NA,NA,"5–6 mm (excluding sepals 2 mm)"
"Peter Wilson","Myrtaceae","Osbornia","octodonta","Osbornieae","","dry",1,1,"",5,5,NA,NA,"insects","biotic","5 mm",NA,NA,NA,"2–3 mm"
"Peter Wilson","Myrtaceae","Psiloxylon","mauritianum","Psiloxyleae","","fleshy",NA,NA,"",0.6,0.8,NA,NA,"insects","biotic","4.5–5 mm",NA,NA,NA,"2–3 mm "
"Peter Wilson","Myrtaceae","Syncarpia","glomulifera","Syncarpieae","","dry",NA,NA,"",1.5,3,NA,NA,"insects, vertebrates","biotic","9–12 mm",NA,NA,NA,"2–2.5 mm"
"Peter Wilson","Myrtaceae","Piliocalyx","robustus","Syzygieae","","fleshy",1,1,"",20,20,NA,NA,"insects","biotic","3–4 mm",NA,NA,NA,"2.5–3 mm"
"Peter Wilson","Myrtaceae","Cloezia","buxifolia","Tristanieae","","dry",6,9,"",4,4,NA,NA,"insects","biotic","6–8 mm ",NA,NA,NA,"2–3 mm"
"Peter Wilson","Myrtaceae","Thaleropia","hypargyrea","Tristanieae","","dry",NA,NA,"",1,1,NA,NA,"vertebrates","biotic","9–10 mm ",NA,NA,NA,"3–3.5 mm "
"Peter Wilson","Myrtaceae","Xanthomyrtus","","Tristanieae","","fleshy",NA,NA,"",1,1.5,NA,NA,"insects","biotic","c. 11–13",NA,NA,NA,"2–2.5 mm"
"Peter Wilson","Myrtaceae","Pleurocalyptus","pancheri","Xanthostemoneae","","dry",NA,NA,"",4,5,NA,NA,NA,NA,"30–45 mm",NA,NA,NA,"11–15 mm"
"Peter Wilson","Myrtaceae","Purpureostemon","ciliatum","Xanthostemoneae","","dry",NA,NA,"",4.5,6,NA,NA,"vertebrates","biotic","12–18 mm ",NA,NA,NA,"2.5–3 mm (excl. sepals 4–5 mm)"
"Peter Wilson","Myrtaceae","Xanthostemon","verdugonianus","Xanthostemoneae","","dry",NA,NA,"",3,3.5,NA,NA,"vertebrates","biotic","11–13 mm",NA,NA,NA,"3.5–6 mm"
